City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Tuatapere,NZ,-46.1333,167.6833,38.93,94,94,3.69,overcast clouds
313,Antofagasta,CL,-23.65,-70.4,56.48,89,56,2.95,broken clouds
314,Warnes,BO,-17.5,-63.1667,66.69,39,75,4.61,broken clouds
315,Katherine,AU,-14.4667,132.2667,70.12,49,64,10.36,broken clouds
316,Nikolskoye,RU,59.7035,30.7861,60.8,85,96,8.25,overcast clouds
317,Sisimiut,GL,66.9395,-53.6735,46.04,89,100,3.4,light rain
318,Gorontalo,ID,0.5412,123.0595,79.07,90,100,4.09,overcast clouds
319,Cap Malheureux,MU,-19.9842,57.6142,68.47,75,66,7.0,broken clouds
320,Straumen,NO,63.8709,11.2999,53.6,79,98,0.89,overcast clouds
321,Sorland,NO,67.667,12.6934,53.46,83,20,10.78,few clouds
322,Balkanabat,TM,39.5108,54.3671,83.28,46,36,6.87,scattered clouds
323,Tsuruoka,JP,38.7217,139.8217,83.08,74,82,3.62,broken clouds
324,Ancud,CL,-41.8697,-73.8203,49.23,91,71,2.98,broken clouds
325,Bjerkvik,NO,68.5597,17.5189,55.99,76,67,3.38,broken clouds
326,Lorengau,PG,-2.0226,147.2712,84.7,66,85,11.32,overcast clouds
327,San Quintin,MX,30.4833,-115.95,70.77,73,89,10.74,overcast clouds
328,La Paz,BO,-16.5,-68.15,44.58,48,11,2.3,few clouds
329,Taunggyi,MM,20.7833,97.0333,65.01,91,91,1.59,overcast clouds
330,Liepaja,LV,56.5419,21.0367,44.58,93,0,2.3,clear sky
331,Neuquen,AR,-38.9516,-68.0591,46.29,61,0,0.0,clear sky
332,Pimentel,PE,-6.8367,-79.9342,62.71,85,46,13.8,scattered clouds
333,Nanortalik,GL,60.1432,-45.2371,45.64,87,91,10.78,overcast clouds
334,Hangu,CN,39.2489,117.7892,78.84,75,0,5.64,clear sky
335,Santa Cruz,BO,-17.8,-63.1667,65.66,39,75,4.61,broken clouds
336,Rossland,CA,49.0831,-117.8022,93.47,10,10,9.15,clear sky
337,College,US,64.8569,-147.8028,73.58,36,75,6.91,broken clouds
338,Trelew,AR,-43.249,-65.3051,48.83,59,80,7.29,broken clouds
339,Bima,ID,-8.4667,118.7167,76.35,77,66,4.38,broken clouds
